Source;Target;Type
0;2243;Directed
0;12084;Directed
0;6169;Directed
0;4887;Directed
0;3694;Directed
0;6260;Directed
0;6977;Directed
0;8788;Directed
0;2399;Directed
0;1362;Directed
1;10168;Directed
1;5913;Directed
1;1731;Directed
1;5459;Directed
1;3562;Directed
1;8575;Directed
1;12886;Directed
1;7558;Directed
1;3482;Directed
1;7573;Directed
1;4619;Directed
1;7044;Directed
8087;7031;Directed
8087;10926;Directed
8087;7877;Directed
8087;6835;Directed
8087;11843;Directed
8087;3266;Directed
8087;6519;Directed
8087;9938;Directed
8087;5002;Directed
8087;12412;Directed
8087;11378;Directed
2;3831;Directed
2;9776;Directed
2;4164;Directed
2;302;Directed
2;9915;Directed
3;3780;Directed
3;3532;Directed
3;11579;Directed
4;11937;Directed
4;716;Directed
4;6680;Directed
4588;10080;Directed
4588;5660;Directed
4588;11809;Directed
4588;7723;Directed
4588;13880;Directed
4588;1179;Directed
4588;9969;Directed
4588;5856;Directed
4588;10476;Directed
4588;12576;Directed
4588;6901;Directed
4588;4160;Directed
4588;12872;Directed
4588;11518;Directed
4588;4478;Directed
4588;10847;Directed
4588;6530;Directed
4588;11465;Directed
4588;9525;Directed
4588;13546;Directed
4588;5963;Directed
4588;12938;Directed
4588;8794;Directed
4588;12533;Directed
4588;7688;Directed
4588;7748;Directed
4588;2394;Directed
4588;4377;Directed
4588;10490;Directed
4588;35;Directed
4588;8138;Directed
4588;9145;Directed
4588;8084;Directed
4588;2991;Directed
4588;13620;Directed
4588;13372;Directed
4588;9839;Directed
4588;8661;Directed
4588;2802;Directed
4588;2355;Directed
4588;1066;Directed
4588;4334;Directed
4588;10460;Directed
4588;962;Directed
4588;6335;Directed
4588;2476;Directed
4588;2999;Directed
4588;7228;Directed
6;4401;Directed
6;13449;Directed
6;13635;Directed
6;11489;Directed
6;9248;Directed
6;13883;Directed
6;2599;Directed
6;7681;Directed
6;10850;Directed
6;8828;Directed
6;8775;Directed
6;9414;Directed
6;9346;Directed
6;11733;Directed
6;10748;Directed
6;11201;Directed
6;5792;Directed
6;1041;Directed
6;6262;Directed
6;3499;Directed
6;385;Directed
6;4905;Directed
6;6528;Directed
6;11995;Directed
6;4088;Directed
6;12420;Directed
6;10990;Directed
6;11477;Directed
6;10500;Directed
6;7612;Directed
6;12699;Directed
6;9431;Directed
6;1531;Directed
6;11738;Directed
6;3200;Directed
6;3974;Directed
6;9849;Directed
6;5770;Directed
6;13138;Directed
6;4105;Directed
8;5831;Directed
8;10253;Directed
8;5888;Directed
8;10224;Directed
8;8885;Directed
8;10827;Directed
8;127;Directed
8;9876;Directed
8;6021;Directed
8;9191;Directed
8;3217;Directed
8;13495;Directed
8;13488;Directed
9;6026;Directed
9;57;Directed
9;7287;Directed
10;4024;Directed
10;6030;Directed
10;11116;Directed
11;5963;Directed
11;6013;Directed
11;8257;Directed
11;8385;Directed
12;2317;Directed
12;2897;Directed
12;6658;Directed
12;6456;Directed
12;8867;Directed
12;7838;Directed
12;7778;Directed
12;676;Directed
12;13096;Directed
12;6666;Directed
12;6296;Directed
12;5674;Directed
12;9279;Directed
12;13887;Directed
12;4414;Directed
12;10035;Directed
12;1033;Directed
12;321;Directed
12;3893;Directed
12;6174;Directed
12;6984;Directed
12;546;Directed
12;9871;Directed
12;10753;Directed
12;1237;Directed
12;9859;Directed
12;12988;Directed
12;5848;Directed
12;127;Directed
12;2670;Directed
12;1043;Directed
12;10724;Directed
12;3722;Directed
12;8396;Directed
12;12229;Directed
12;5722;Directed
12;13840;Directed
12;12416;Directed
12;1994;Directed
12;13664;Directed
12;5750;Directed
12;5805;Directed
12;2460;Directed
12;856;Directed
12;10368;Directed
12;7461;Directed
12;2401;Directed
12;13915;Directed
12;8691;Directed
12;6987;Directed
12;7215;Directed
12;8842;Directed
12;8585;Directed
12;6475;Directed
12;7220;Directed
12;13256;Directed
12;10531;Directed
12;10303;Directed
12;11380;Directed
12;9161;Directed
12;2615;Directed
12;2850;Directed
12;9498;Directed
12;301;Directed
12;11961;Directed
12;5978;Directed
12;13693;Directed
13;12660;Directed
13;6051;Directed
13;6165;Directed
13;4758;Directed
13;11350;Directed
13;3249;Directed
13;12828;Directed
13;4348;Directed
13;2529;Directed
13;9371;Directed
13;1421;Directed
13;13497;Directed
13;13798;Directed
13;9010;Directed
13;10410;Directed
6893;10914;Directed
15;12495;Directed
15;1488;Directed
16;7925;Directed
16;9329;Directed
16;8927;Directed
16;1385;Directed
16;8151;Directed
16;5767;Directed
16;1392;Directed
16;7537;Directed
16;1998;Directed
17;8793;Directed
17;13804;Directed
17;6806;Directed
17;4873;Directed
17;1237;Directed
17;4260;Directed
17;2858;Directed
17;13866;Directed
17;4521;Directed
17;6714;Directed
17;3172;Directed
17;11344;Directed
17;10516;Directed
17;5907;Directed
18;529;Directed
18;12997;Directed
18;12797;Directed
18;4001;Directed
18;5845;Directed
18;7895;Directed
18;13129;Directed
18;12264;Directed
18;10474;Directed
18;13664;Directed
18;3388;Directed
18;3086;Directed
18;3439;Directed
19;14106;Directed
19;2739;Directed
20;766;Directed
21;2897;Directed
21;4659;Directed
21;12807;Directed
21;5674;Directed
21;4394;Directed
21;856;Directed
21;12768;Directed
21;8640;Directed
21;6803;Directed
11614;5373;Directed
11614;5911;Directed
11614;9698;Directed
11614;12194;Directed
22;2897;Directed
22;8793;Directed
22;11485;Directed
22;1884;Directed
22;11380;Directed
22;832;Directed
22;13424;Directed
22;1980;Directed
22;8877;Directed
22;8515;Directed
22;4414;Directed
22;7485;Directed
23;10787;Directed
23;163;Directed
23;8436;Directed
23;13210;Directed
23;1834;Directed
23;7844;Directed
23;1574;Directed
23;4480;Directed
23;13352;Directed
23;6626;Directed
23;8394;Directed
23;8136;Directed
23;11718;Directed
23;10897;Directed
23;9073;Directed
23;3856;Directed
23;840;Directed
23;8849;Directed
23;2510;Directed
23;10996;Directed
23;5484;Directed
23;11377;Directed
23;4443;Directed
23;1706;Directed
23;13320;Directed
23;807;Directed
24;479;Directed
24;7181;Directed
24;11959;Directed
24;13790;Directed
25;7873;Directed
25;9600;Directed
25;11937;Directed
25;25;Directed
25;6011;Directed
25;3299;Directed
25;5907;Directed
25;11498;Directed
26;11740;Directed
26;14053;Directed
26;7269;Directed
26;5253;Directed
26;3732;Directed
26;12780;Directed
27;1441;Directed
27;8372;Directed
27;8504;Directed
28;187;Directed
28;7963;Directed
28;4176;Directed
28;13216;Directed
29;13468;Directed
29;1089;Directed
30;6326;Directed
30;9124;Directed
30;1052;Directed
30;3786;Directed
30;3626;Directed
30;13339;Directed
30;6985;Directed
31;2117;Directed
31;9196;Directed
31;11809;Directed
31;12660;Directed
31;248;Directed
31;12786;Directed
31;13053;Directed
31;11869;Directed
31;12632;Directed
31;9974;Directed
32;9223;Directed
32;5575;Directed
32;13880;Directed
32;7169;Directed
32;10995;Directed
33;3221;Directed
33;2482;Directed
33;11380;Directed
33;8864;Directed
33;7646;Directed
33;3585;Directed
34;1092;Directed
34;8823;Directed
34;9110;Directed
34;4156;Directed
34;3060;Directed
34;1663;Directed
34;12886;Directed
34;8223;Directed
34;12016;Directed
34;10213;Directed
34;10913;Directed
34;9621;Directed
34;12202;Directed
35;11855;Directed
35;5182;Directed
35;12250;Directed
35;4728;Directed
35;11957;Directed
35;8831;Directed
35;9284;Directed
35;5730;Directed
35;7304;Directed
35;12057;Directed
35;4230;Directed
35;10392;Directed
35;6072;Directed
35;10508;Directed
36;3319;Directed
36;12162;Directed
36;12985;Directed
36;13792;Directed
36;8223;Directed
36;11188;Directed
36;8396;Directed
37;8915;Directed
37;9436;Directed
37;11310;Directed
39;4460;Directed
39;3893;Directed
39;7707;Directed
39;6797;Directed
39;12717;Directed
39;11816;Directed
226;13104;Directed
226;8084;Directed
41;3584;Directed
41;936;Directed
41;470;Directed
41;5500;Directed
41;3228;Directed
41;12829;Directed
41;3453;Directed
42;2856;Directed
42;3379;Directed
42;11985;Directed
42;13210;Directed
42;4675;Directed
42;12049;Directed
42;2540;Directed
42;10639;Directed
42;821;Directed
42;1492;Directed
42;10425;Directed
42;2548;Directed
42;1574;Directed
42;1821;Directed
42;7692;Directed
42;7736;Directed
42;4481;Directed
42;3727;Directed
42;13229;Directed
42;1145;Directed
42;9702;Directed
42;10856;Directed
42;4990;Directed
42;1250;Directed
42;9533;Directed
42;10328;Directed
42;11944;Directed
42;10608;Directed
42;3383;Directed
42;11370;Directed
42;451;Directed
42;9371;Directed
42;3111;Directed
42;10662;Directed
42;9787;Directed
42;5161;Directed
42;1211;Directed
42;12953;Directed
42;11376;Directed
42;13570;Directed
42;2030;Directed
42;14099;Directed
42;11487;Directed
42;3216;Directed
42;5633;Directed
42;564;Directed
42;9785;Directed
42;6716;Directed
42;10016;Directed
42;3554;Directed
42;6282;Directed
42;9590;Directed
4595;1030;Directed
4595;4154;Directed
4595;4171;Directed
43;10316;Directed
43;968;Directed
44;7351;Directed
45;4404;Directed
45;10432;Directed
45;11807;Directed
45;13225;Directed
46;2355;Directed
46;6470;Directed
46;8716;Directed
47;12167;Directed
47;10621;Directed
47;6658;Directed
49;5910;Directed
49;9762;Directed
50;5318;Directed
50;387;Directed
51;9839;Directed
51;5472;Directed
51;13157;Directed
51;13880;Directed
51;1604;Directed
51;2250;Directed
51;7177;Directed
51;2124;Directed
51;12117;Directed
51;3712;Directed
51;1107;Directed
52;9510;Directed
52;3333;Directed
52;52;Directed
52;7597;Directed
52;2499;Directed
53;7037;Directed
53;3831;Directed
53;484;Directed
53;6822;Directed
53;3544;Directed
53;3557;Directed
53;5974;Directed
54;821;Directed
55;810;Directed
55;1832;Directed
55;9737;Directed
55;8280;Directed
55;10692;Directed
55;9692;Directed
55;13216;Directed
55;10489;Directed
55;12355;Directed
55;11366;Directed
55;1043;Directed
55;8396;Directed
55;12779;Directed
55;1585;Directed
55;9886;Directed
55;3337;Directed
55;9776;Directed
55;7551;Directed
55;9436;Directed
55;11380;Directed
55;8686;Directed
55;1369;Directed
55;7942;Directed
55;6600;Directed
10513;7565;Directed
10513;7805;Directed
10513;5039;Directed
10513;8378;Directed
10513;3252;Directed
10513;10843;Directed
10513;5294;Directed
10513;9005;Directed
10513;1940;Directed
10513;891;Directed
10513;1624;Directed
10513;9693;Directed
10513;14068;Directed
10513;12109;Directed
10513;5109;Directed
10513;5726;Directed
10513;5511;Directed
10513;6575;Directed
10513;12649;Directed
10513;11527;Directed
10513;8395;Directed
10513;2785;Directed
10513;5063;Directed
10513;3160;Directed
10513;2175;Directed
10513;1150;Directed
10513;7033;Directed
10513;8064;Directed
10513;7540;Directed
10513;11898;Directed
10513;14000;Directed
10513;5702;Directed
10513;3652;Directed
10513;12244;Directed
10513;13738;Directed
10513;1701;Directed
10513;5874;Directed
10513;7106;Directed
10513;10067;Directed
10513;8159;Directed
10513;8306;Directed
10513;12615;Directed
10513;9725;Directed
10513;1708;Directed
10513;5478;Directed
10513;5823;Directed
10513;13715;Directed
10513;6411;Directed
56;7873;Directed
56;9600;Directed
57;856;Directed
57;1651;Directed
58;11364;Directed
58;728;Directed
58;906;Directed
58;9020;Directed
58;13556;Directed
58;3082;Directed
58;6006;Directed
58;1670;Directed
338;8268;Directed
338;12298;Directed
338;11879;Directed
338;9134;Directed
338;10468;Directed
338;11204;Directed
338;9279;Directed
338;10600;Directed
338;10035;Directed
60;4556;Directed
60;2133;Directed
60;2916;Directed
60;4482;Directed
60;2881;Directed
60;8340;Directed
60;4851;Directed
60;4793;Directed
60;12753;Directed
61;6326;Directed
61;8829;Directed
61;13623;Directed
61;11519;Directed
61;13909;Directed
61;7288;Directed
61;6080;Directed
61;7574;Directed
61;5133;Directed
61;2390;Directed
61;8396;Directed
61;64;Directed
62;821;Directed
62;7485;Directed
62;1255;Directed
62;8968;Directed
63;13245;Directed
63;8715;Directed
64;6341;Directed
64;6326;Directed
64;11922;Directed
64;13758;Directed
64;9734;Directed
64;1069;Directed
64;3314;Directed
64;1814;Directed
6900;13647;Directed
6900;2810;Directed
66;10914;Directed
4600;96;Directed
4600;9209;Directed
4600;7453;Directed
4600;2617;Directed
4600;4125;Directed
4600;8076;Directed
4600;8780;Directed
4600;11911;Directed
4600;2889;Directed
4600;9601;Directed
4600;13639;Directed
4600;13482;Directed
68;735;Directed
68;2410;Directed
68;13574;Directed
68;7363;Directed
68;11061;Directed
68;12359;Directed
69;759;Directed
69;10051;Directed
69;7894;Directed
69;6432;Directed
69;4562;Directed
69;5636;Directed
69;8964;Directed
69;10477;Directed
69;13399;Directed
69;3496;Directed
13203;12036;Directed
13203;5717;Directed
13203;939;Directed
13203;9968;Directed
13203;6802;Directed
13203;12601;Directed
11620;2662;Directed
11620;12999;Directed
71;11294;Directed
5336;4678;Directed
5336;5510;Directed
5336;11908;Directed
5336;7176;Directed
72;11934;Directed
72;9512;Directed
73;1842;Directed
73;391;Directed
73;6072;Directed
73;6767;Directed
73;13037;Directed
73;6744;Directed
73;13515;Directed
74;5536;Directed
74;993;Directed
74;3470;Directed
74;6556;Directed
75;1963;Directed
75;7733;Directed
75;6753;Directed
75;12489;Directed
76;5999;Directed
76;1651;Directed
76;2870;Directed
76;9033;Directed
76;3823;Directed
77;12326;Directed
77;12938;Directed
77;10604;Directed
77;5617;Directed
77;11710;Directed
77;2753;Directed
77;5957;Directed
77;4880;Directed
77;2078;Directed
11619;848;Directed
11619;7464;Directed
11619;12773;Directed
11619;148;Directed
11619;3573;Directed
11619;12442;Directed
11619;4579;Directed
11619;12973;Directed
11619;8755;Directed
11619;5516;Directed
11619;14049;Directed
78;1473;Directed
78;11003;Directed
78;5375;Directed
79;786;Directed
79;10731;Directed
79;8675;Directed
79;9803;Directed
79;8185;Directed
79;113;Directed
13718;10914;Directed
80;856;Directed
80;10035;Directed
80;9665;Directed
80;6824;Directed
80;6200;Directed
81;8546;Directed
81;7075;Directed
81;4596;Directed
81;1238;Directed
81;6609;Directed
81;3540;Directed
81;12617;Directed
81;13334;Directed
81;10503;Directed
81;8529;Directed
81;1030;Directed
82;9603;Directed
82;12278;Directed
82;10209;Directed
82;4814;Directed
82;5670;Directed
82;2765;Directed
82;4841;Directed
83;12568;Directed
83;4736;Directed
83;4639;Directed
83;4860;Directed
83;1128;Directed
83;13588;Directed
83;7538;Directed
12127;7778;Directed
12127;9966;Directed
12127;1343;Directed
12127;9916;Directed
12127;2212;Directed
12127;1896;Directed
12127;653;Directed
12127;11093;Directed
12127;10897;Directed
12127;10551;Directed
12127;885;Directed
12127;6808;Directed
12127;10660;Directed
12127;13246;Directed
12127;9601;Directed
12127;11373;Directed
12127;12951;Directed
12127;9024;Directed
12127;11166;Directed
12127;12858;Directed
12127;4392;Directed
12127;11168;Directed
12127;12440;Directed
11622;5093;Directed
11622;414;Directed
85;7767;Directed
85;11166;Directed
85;13275;Directed
85;5964;Directed
85;11508;Directed
86;5742;Directed
86;1884;Directed
86;10843;Directed
86;7903;Directed
86;4138;Directed
86;4837;Directed
86;1624;Directed
86;6358;Directed
86;10425;Directed
86;8064;Directed
86;2724;Directed
86;7482;Directed
86;5063;Directed
86;11209;Directed
86;2175;Directed
86;2420;Directed
86;10929;Directed
86;7540;Directed
86;12244;Directed
86;5136;Directed
86;9893;Directed
86;7106;Directed
86;10184;Directed
86;8159;Directed
