id;name;new_id
2,90994E+14;ALDI Australia;11192
5510619796;Wetpaint;10743
2,5451E+11;Q102.7 KBIQ;13087
3,22745E+14;Paraná TV, Bom Dia PR e G1 PR;12630
1,75047E+11;easyJet;7453
1,92099E+11;RTL Nieuws;4882
1,796E+15;Tasty Vegetarian;14102
2,11372E+11;NewsRadio 1110 KFAB;111
79007444234;Sears Auto Center;11863
1,49944E+14;Gemini Music;14031
2,02151E+14;India.Com - Hindi;5589
1,03646E+14;Telia Finland;13712
8,49638E+14;Metro Soaps;6904
1,25285E+14;Totalplay;10548
91590282596;Johnsonville;8356
6491828674;PBS NewsHour;12416
63255458863;Gatorade;5565
1,81979E+14;ENGIE;1549
1,2581E+11;WLNS-TV;4906
3,92279E+14;Suunto;7522
1,80247E+11;UPC Polska;11870
1,45708E+14;Callebaut;3845
1,22347E+14;Telegraph Travel;3557
1,22175E+14;El Partidazo de COPE;7609
1,30488E+14;MTN Nigeria;2299
1,05442E+11;Moldcell;3641
1,17195E+14;Legendary;13416
1,53905E+14;Decathlon Dubai;1411
7239334663;USAA;13521
4,31666E+14;롯데리아 (LOTTERIA);6537
2,15788E+14;Boursin Cheese;6538
3,10621E+14;Rappler;8454
40373497138;Salesforce Marketing Cloud;4848
2,26078E+14;Bob's Brasil;9610
1,26636E+14;Fruttare;9906
4,31012E+14;BuzzFeed Community;9808
1,98222E+14;SK플래닛 스튜디오;10202
2,56167E+11;KidZania Dubai;2287
1,63245E+11;BAR ONE;3982
41213136791;Stampd;7807
1,13333E+14;VOA Amharic;1593
49709098596;P4 Östergötland Sveriges Radio;4123
4,00998E+14;Where We Live;1662
1,16452E+14;Ball® Canning & Recipes;13352
39917786433;Carambar;14055
6,37529E+14;SEC on ESPN;7091
5,01279E+14;NESTEA;13307
3,54932E+14;The Tab Bath;1036
1,15632E+14;PalermoToday;13061
9,03955E+14;ODDSbible;358
2,0926E+14;Yapı Kredi İnsan Kaynakları;11561
1,62881E+14;Red Hat;10127
56845382910;HuffPost Politics;5657
7,25321E+14;Bizwomen;3631
1,72146E+14;PressProgress;10902
4,36311E+14;Back to Nature;12804
5,7597E+14;Cuponatic;13624
1,15104E+14;DR Nyheder;3830
9,70701E+14;La Vache Qui Rit Arabia البقرة الضاحكة;13432
1,58754E+14;Malta Communications Authority - MCA;4338
1,39524E+15;果籽;1408
1,70001E+14;Stop & Shop;5195
1,43384E+15;The Local Denmark;6487
1,516E+14;Sweet Home Farm;9629
1,00856E+14;Jetstar Hong Kong;12903
1,63354E+15;Tasty Japan;8613
6,40308E+14;GoAir;505
1,29026E+14;Marriott Hotels;6072
4,22737E+14;Radio 10;4889
1,54881E+11;CarWale;8165
2,36911E+14;Fickle Fish Films;666
3,61147E+14;Ricola;1064
4,22576E+14;Lenovo Argentina;2592
